Nazwa;Ulica;Numer;Miasto
Rubinowy Sad;Nadrzeczna;71;Sopot
Szafirowe Wzgorze;Klonowa;36;Sopot
Cytrynowa Rzeka;Klonowa;52;Sopot
Chrupkowa;Granitowa;25;Sopot
Zielone Ogrodki;Granitowa;78;Sopot
Malinowy Kacik;Jesienna;56;Sopot
Piekna;Jesienna;94;Sopot
Teatr Lesny;Mila;97;Sopot
Jagodowy Raj;Mila;43;Sopot
Muminkowa;Topolowa;31;Sopot
Srebrzysta Dolina;Topolowa;152;Sopot
Szeroka;Slowackiego;47;Sopot
Klonowy Sad;Slowackiego;153;Sopot
Granatowy Brzeg;Biala;128;Sopot
Rozany Las;Biala;16;Sopot
Sloneczna Dolina;Sienkiewicza;107;Sopot
Kwiatowy Kacik;Sienkiewicza;13;Sopot
Miszewskiego;Zielona;179;Sopot
Debowa Rzeka;Zielona;12;Sopot
Kamienista Wyspa;Wojska Polskiego;130;Sopot
Sloneczny Sklep;Wojska Polskiego;158;Sopot
Malinowa Ulica;Debowa;127;Sopot
Cytrynowy Zakatek;Debowa;42;Sopot
Koralowy Las;Krzywa;5;Sopot
Lewandowskiego;Krzywa;29;Sopot
Szafirowa Dolina;Spacerowa;68;Sopot
Perlowy Skwer;Spacerowa;72;Sopot
Sosnowy Kacik;Cicha;123;Sopot
Granatowy Raj;Cicha;144;Sopot
Zielone Wzgorze;Morska;165;Sopot
Kubicy;Morska;53;Sopot
Traugutta;Szkolna;90;Sopot
Malinowy Brzeg;Szkolna;10;Sopot
Czerwona Rzeka;Malwowa;63;Sopot
Rubinowy Ogrod;Malwowa;125;Sopot
Srebrzysta Przystan;Wiosenna;31;Sopot
Klonowa Dolina;Wiosenna;150;Sopot
Kwiatowy Sklep;Parkowa;172;Sopot
Swiatek;Parkowa;66;Sopot
Ogrodowa;Kwiatowa;182;Sopot
Sloneczny Brzeg;Kwiatowa;28;Sopot
Perlowy Raj;Warszawska;92;Sopot
Cytrynowa Dolina;Warszawska;39;Sopot
Zielona Polana;Sloneczna;198;Sopot
Lawendowy Kacik;Sloneczna;167;Sopot
Sosnowy Zakatek;Lesna;62;Sopot
Koralowa Ulica;Lesna;1;Sopot
Granatowy Staw;Bursztynowa;166;Sopot
Medyczny;Bursztynowa;102;Sopot
Czerwony Brzeg;Sloneczna;20;Sopot
Rubinowy Plac;Sloneczna;46;Sopot
Szafirowy Las;Szkolna;161;Sopot
Debowa Skwer;Szkolna;181;Sopot
Popka;Debowa;54;Sopot
Srebrna Polana;Debowa;113;Sopot
Perlowy Brzeg;Krotka;171;Sopot
Sloneczny Zakatek;Krotka;89;Sopot
Kamienista Rzeka;Urocza;155;Sopot
Klonowy Staw;Urocza;58;Sopot
Jagodowy Kacik;Wiejska;149;Gdynia
Kwiatowa Dolina;Wiejska;7;Gdynia
Brama Oliwska;Lesna;88;Gdynia
Skrajna;Lesna;186;Gdynia
Sosnowy Las;Spacerowa;157;Gdynia
Czerwona Ulica;Spacerowa;15;Gdynia
Sloneczne Rozstaje;Lipowa;150;Gdynia
Rubinowa Rzeka;Lipowa;67;Gdynia
Kolorowa;Wiosenna;161;Gdynia
Perlowy Sklep;Wiosenna;119;Gdynia
Cytrynowy Sad;Parkowa;9;Gdynia
Malinowa Przystan;Parkowa;60;Gdynia
Koralowy Raj;Kwiatowa;33;Gdynia
Debowa Polana;Kwiatowa;139;Gdynia
Jagodowy Zakatek;Zamkowa;59;Gdynia
Szafirowy Kacik;Zamkowa;37;Gdynia
Zielony Brzeg;Polna;145;Gdynia
Srebrny Las;Polna;51;Gdynia
Kamienista Dolina;Nadbrzezna;76;Gdynia
Kwiatowy Skwer;Nadbrzezna;22;Gdynia
Granatowy Zakatek;Jagodowa;79;Gdynia
Sloneczny Las;Jagodowa;96;Gdynia
Klonowy Brzeg;Slowackiego;134;Gdynia
Rubinowy Kacik;Slowackiego;140;Gdynia
Jagodowy Plac;Piekna;200;Gdynia
Malinowy Sklep;Piekna;175;Gdynia
Perlowy Las;Szkolna;175;Gdynia
Zielone Wzgorza;Szkolna;181;Gdynia
Sosnowa Dolina;Zlota;200;Gdynia
Czerwony Sklep;Zlota;168;Gdynia
Koralowy Staw;Rozana;50;Gdynia
Sloneczna Rzeka;Rozana;171;Gdynia
Albanska;Bursztynowa;140;Gdynia
Cytrynowa Ulica;Bursztynowa;67;Gdynia
Granatowa Polana;Rozanska;77;Gdynia
Rubinowa Dolina;Rozanska;112;Gdynia
Perlowy Zakatek;Malinowa;36;Gdynia
Srebrzysty Kacik;Malinowa;28;Gdynia
Chlopska;Wiejska;132;Gdynia
Jagodowy Las;Wiejska;165;Gdynia
Zielona Rzeka;Stokrotka;182;Gdynia
Kwiatowy Brzeg;Stokrotka;125;Gdynia
Klonowy Ogrod;Zimowa;166;Gdynia
